,中坡,中研,中貿,玉成,玉德,向揚,庄研,佳樂,忠陽,昆陽,林坊,研究,胡適,重陽,香城,凱松,港泰,港高鐵,港捷,港勝,港運,港德,港興,港環球,港麗,華技,雄強,慈愛,新福玉,經貿,聯成,聯坊,馥樺,鵬馳,耀港,鑫貿
中坡,0,5.5,4.7,1.7,0.45,2.5,5.6,3.4,2,1.7,0.8,4.5,4.9,2.8,3.9,1,3.3,3.3,4.4,4.3,0.85,1,3.4,3.1,3,6.2,1.2,3,0.5,4.1,1.8,1.1,4.4,2,4.1,4.8
中研,5.8,0,3,5.2,5.5,4.5,1.4,2.9,4.1,4.7,5.2,1.2,1.6,4.2,2.4,5.7,2.8,2.9,2.2,2.1,5.7,5.7,3.4,2.8,3,2,5.1,4,5.7,2.7,4.2,5.2,2.7,4.8,1.7,2.5
中貿,4.8,2.5,0,4,4.5,3.3,2.6,1.5,3,3.6,4.2,1.4,1.8,2.3,1.1,4.5,1.8,1.6,1.5,0.65,4.3,4.7,1.9,1.8,2,3.2,4.1,2,5.2,0.75,3.1,4.2,0.6,3.3,1,0.13
玉成,1.6,5.3,4.9,0,2.3,0.45,4.4,1.6,0.8,1.4,1.9,3.3,3.7,0.8,2.2,1.3,2.1,1.8,3,2.8,1.7,2.5,1.6,1.8,1.8,5,1.9,1,2.5,2.6,0.9,2,2.7,0.26,2.9,2.9
玉德,0.45,5.3,5.6,2,0,2.2,5.3,3.1,1.8,1.4,0.4,4.2,4.6,2.5,3.7,0.9,3,2.9,4.1,4.2,0.6,1.2,3.3,2.9,2.7,5.9,0.9,2.7,0.65,4,1.4,0.6,4.2,1.7,3.8,4.4
向揚,3,4.8,3,0.55,2.8,0,4.9,1.8,1.3,1.9,2.4,3.8,4.2,0.5,2.3,2.1,2.2,2.3,3,3.7,2.3,3,1.3,2.3,2.3,5.5,2.3,0.75,2.9,2.4,1.4,2.5,3,0.85,3.4,3.1
庄研,5.8,1.3,2.9,4.5,5.5,4.5,0,2.9,4,4.6,5.2,1.2,1.6,4.2,2.4,5.7,2.8,3.2,2.2,2.1,5.7,5.7,3.3,3.2,3,0.6,5.1,3.9,5.7,2.6,4.1,5.2,2.7,4.8,1.7,2.5
佳樂,3.4,2.8,1.3,1.6,3.2,1.6,2.9,0,1.7,2.3,2.8,1.8,2.2,1.3,0.6,2.9,0.45,0.21,1.3,1.2,2.9,3.3,0.4,0.35,0.6,3.5,2.7,1,3.3,0.95,1.8,2.9,1.1,1.9,1.3,1.5
忠陽,1.7,4,3,0.45,1.5,0.8,4.1,1.7,0,0.6,1.2,2.8,3.2,1.1,2.2,1.6,1.6,1.4,2.7,2.6,1.4,1.7,1.8,1.4,1.3,4.5,1,1.3,1.7,2.6,0.19,1.3,2.7,0.7,2.5,3
昆陽,1.7,3.8,3,0.5,1.5,0.8,3.9,1.7,0.028,0,1.2,2.8,3.2,1.1,2.2,1.6,1.6,1.5,2.7,2.6,1.4,1.7,1.8,1.4,1.3,4.5,1.1,1.3,1.7,2.6,0.16,1.2,2.7,0.75,2.4,3
林坊,0.85,4.9,4.1,1.9,0.4,1.9,5,2.7,1.2,1.3,0,3.9 ,4.3,2.2,3.3,1.3,2.7,2.5,3.8,3.7,1,1.2,2.9,2.5,2.4,5.6,0.8,2.4,0.6,3.7,1,0.22,3.8,1.6,3.5,4.1
研究,5.1,1,2.3,3.9,4.9,3.9,1.1,2.3,3.5,4,4.6,0,0.4,3.6,1.8,5.1,2.2,2.6,1.6,1.5,5.1,5.1,2.7,2.6,2.4,1.7,4.5,3.3,5.1,2,3.5,4.6,2.1,4.2,1.1,1.9
胡適,5.3,0.65,2.5,4.1,5,4,0.75,2.4,3.6,4.2,4.7,1,0,3.7,1.9,5.2,2.3,2.7,1.7,1.6,5.2,5.2,2.9,2.7,2.5,1.3,4.6,3.5,5.2,2.1,3.7,4.7,2.2,4.3,1.2,2
重陽,2.8,3.9,1.9,0.75,2.5,0.5,4,1.3,1.1,1.7,2.2,2.9,3.3,0,1.8,2,1.7,1.3,2.5,2.6,2.3,2.7,0.85,1.3,1.8,4.6,2.1,0.22,2.7,2.1,1.2,2.3,1.9,1,2.5,2.1
香城,4.3,2.2,0.75,2.5,3.6,2.4,2.4,0.65,2.1,2.8,3.2,1.2,1.6,1.9,0,3.6,0.95,1,0.75,0.65,3.4,3.8,1,1,1.1,3,3.2,1.7,3.8,0.4,2.2,3.3,0.55,2.7,0.75,0.95
凱松,1.5,5.5,4.9,1.3,1.2,1.8,5.6,2.9,1.6,1.7,1.1,4.5,4.8,2.1,3.5,0,3.2,2.9,4.1,4,0.45,2.1,2.9,2.9,2.9,6.2,1.1,2.3,1.6,5.1,1.8,1.4,4.9,1,4.1,5.4
港泰,2.9,2.8,1.9,1.7,2.7,1.7,2.8,0.6,1.3,1.8,2.4,1.7,2.1,2,1.2,2.9,0,0.4,1.6,1.5,2.9,2.9,0.7,0.4,0.16,3.4,2.3,1.3,2.9,1.5,1.3,2.4,1.7,2,1.4,1.9
港高鐵,3.3,2.6,1.4,1.8,3,1.9,2.7,0.35,1.6,2.2,2.7,1.6,2,1.4,0.85,3.2,0.35,0,1.2,1.1,3.2,3.2,0.6,0.5,0.5,3.3,2.6,1.2,3.2,1.2,1.7,2.8,1.3,2,1.4,1.5
港捷,4.7,2.4,0.8,3.2,4.4,2.9,2.5,1.4,3,3.5,4.1,1.4,1.7,2.4,0.9,4.8,1.7,1.8,0,0.35,4.2,4.6,1.9,1.7,1.9,3.1,4,2.2,4.6,0.45,3.1,4.1,0.55,3.4,0.9,0.35
